species,name,age
Spinosaurus,Cera,13
Triceratops,Spiny,60
Pterodactyl,Blue,26
Diplodocus,Tank,28
Allosaurus,Spiny,79
Spinosaurus,Pterry,83
Triceratops,Tiny,85
Brachiosaurus,Spike,46
Velociraptor,One-eye,62
Stegosaurus,Spike,85
Pterodactyl,Tiny,26
Brachiosaurus,Rex,54
Pterodactyl,Longneck,91
Triceratops,Spiny,6
Brachiosaurus,Tiny,64
Brachiosaurus,Blue,63
Allosaurus,Tank,92
Ankylosaurus,Spike,92
Brachiosaurus,Tank,43
Brachiosaurus,Spiny,4
Triceratops,Longneck,36
Spinosaurus,Pterry,82
Ankylosaurus,Longneck,6
Brachiosaurus,Tiny,83
Diplodocus,Rex,70
Triceratops,Tiny,49
Pterodactyl,One-eye,5
Spinosaurus,One-eye,12
Brachiosaurus,One-eye,30
Allosaurus,Longneck,68
Pterodactyl,Spiny,83
Ankylosaurus,Longneck,31
Spinosaurus,Tiny,83
Stegosaurus,Blue,79
Stegosaurus,Tank,13
Spinosaurus,One-eye,87
Brachiosaurus,Spike,64
Pterodactyl,Spike,40
Brachiosaurus,Spiny,97
Stegosaurus,Tiny,48
Ankylosaurus,Tank,61
Allosaurus,Tank,49
Velociraptor,Longneck,80
Triceratops,Rex,21
Brachiosaurus,Longneck,7
Stegosaurus,Tiny,3
Diplodocus,Spike,39
Triceratops,Spiny,37
Stegosaurus,Spike,72
Triceratops,Spiny,37
Pterodactyl,Cera,63
Brachiosaurus,Cera,44
Triceratops,Pterry,76
Spinosaurus,Spike,9
Spinosaurus,Pterry,1
Diplodocus,One-eye,35
Pterodactyl,Spiny,73
Allosaurus,Cera,86
Triceratops,Rex,58
Stegosaurus,Blue,1
Tyrannosaurus,Cera,7
Stegosaurus,Pterry,6
Stegosaurus,Tank,37
Allosaurus,Tiny,46
Pterodactyl,Tank,9
Tyrannosaurus,One-eye,52
Stegosaurus,Cera,2
Spinosaurus,Tiny,62
Triceratops,Cera,14
Triceratops,Rex,40
Pterodactyl,Pterry,87
Ankylosaurus,Cera,47
Diplodocus,Tank,85
Stegosaurus,Rex,19
Velociraptor,Spike,80
